Item,Variable,Coefficient,Feature,,,,,,,
Setiu,negeri_dp_Terengganu_Setiu,-1.88E-01,0,0.00E+00,,,,,,
W.P. KUALA LUMPUR,negeri_dp_WPKualaLumpur_W.P.KUALALUMPUR,-1.37E-01,1,-1.37E-01,-0.1372421,,,,,
W.P. LABUAN,negeri_dp_WPLabuan_W.P.LABUAN,-3.24E-01,0,0.00E+00,,,,,,
W.P. PUTRAJAYA,negeri_dp_WPPutrajaya_W.P.PUTRAJAYA,1.94E-02,0,0.00E+00,,,,,,
Melayu,kump_etnik_Melayu,0,0,0.00E+00,,,,,,
Cina,kump_etnik_Cina,8.37E-02,1,8.37E-02,,,,,,
India,kump_etnik_India,2.26E-02,0,0.00E+00,,,,,,
Lain-lain,kump_etnik_Lainlain,3.10E-03,0,0.00E+00,,,,,,
Malay,,0,,,,,,,,
Chinese,,8.37E-02,,,,,,,,
Indian,,2.26E-02,,,,,,,,
Others,,3.10E-03,,,,,,,,
Lelaki,,0,1,0.00E+00,,,,,,
Perempuan,kod_jantina,-2.55E-03,0,0.00E+00,,8.315,,,,
Male,,0,,,,,,,,
Female,,-2.55E-03,,,,,,,,
Bandar ,,0,0,0.00E+00,,4083.839319,,,,
Luar bandar,kod_strata,-3.15E-02,1,-3.15E-02,,,,,,
Urban,,0,,,,,,,,
Rural,,-3.15E-02,,,,,,,,
Bil IR,no_hh,2.09E-02,4,8.36E-02,,,,,,
Bil Kanak-kanak,bil_kanak2,1.23E-02,1,1.23E-02,,,,,,
Bil Warga Emas,bil_warga_emas,1.88E-02,2,3.75E-02,,,,,,
Bil OKU,bil_oku,-1.44E-02,1,-1.44E-02,,,,,,
,,,,4083.839,,,,,,
,,,,8.314792835,,,,,,
